Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,SM0603_Capa,-8.30072,2.49936,90,bottom
C2,15pF,SM0603_Capa,-4.50088,11.99896,270,bottom
C3,15pF,SM0603_Capa,4.39928,12.4968,0,bottom
C4,100nF,SM0603_Capa,5.99948,-1.50114,90,bottom
C5,100nF,SM0603_Capa,-5.00126,-2.99974,180,bottom
C6,4.7uF,SM0603_Capa,-6.2992,5.19938,180,bottom
C7,4.7uF,SM0603_Capa,4.39928,9.49706,0,bottom
C8,10nF,SM0603_Capa,4.39928,10.9982,0,bottom
C14,100nF,SM0603_Capa,-3.50012,-13.79982,180,bottom
C29,15pF,SM0603_Capa,12.99972,12.0015,180,bottom
C30,4.7uF,SM0603_Capa,12.99972,13.5001,0,bottom
C31,4.7uF,SM0603_Capa,9.9949,9.00176,180,bottom
C32,10nF,SM0603_Capa,7.00024,11.00074,180,bottom
C35,15pF,SM0603_Capa,11.50112,-12.49934,0,bottom
C36,100nF,SM0603_Capa,-11.19886,7.80034,0,bottom
C37,4.7uF,SM0603_Capa,9.4996,-13.00226,270,bottom
C38,100nF,SM0603_Capa,12.49934,-6.00202,180,bottom
C39,10uF,SM0603_Capa,10.89914,1.8034,90,bottom
C40,10nF,SM0603_Capa,13.8303,-12.99972,270,bottom
C41,100nF,SM0603_Capa,8.6995,-2.19964,270,bottom
D1,BAT54,sod323,5.4991,-5.00126,180,bottom
D2,BAT54,sod323,5.4991,-8.001,180,bottom
D3,BAT54,sod323,5.4991,-11.00074,180,bottom
D4,BAT54,sod323,5.4991,-14.00048,180,bottom
D8,BLUE_LED,SMDLED-0603,15.49908,-15.49908,225,bottom
G***,bitcraze,bitcraze,-5.40004,-8.60044,0,bottom
P7,MICRO-B-USB,ZX62-B-5PA_11_CFK,-10.50036,14.80058,0,bottom
Q5,2N7002,SOT23GDS,12.90066,-1.6002,0,bottom
Q6,2N7002,SOT23GDS,12.10056,6.49986,270,bottom
R7,100k,SM0603,-6.2992,1.99898,180,bottom
R16,39k,SM0603,12.99972,10.50036,0,bottom
R17,10R,SM0603,9.19988,7.50062,180,bottom
R18,30k,SM0603,7.00024,12.49934,0,bottom
R19,0R,SM0603,7.50062,8.99922,0,bottom
R20,42.2k,SM0603,9.4996,-10.5029,270,bottom
R21,300k,SM0603,8.001,-8.001,270,bottom
R23,150k,SM0603,9.4996,-8.001,90,bottom
R28,30k,SM0603,7.99846,-10.5029,90,bottom
R29,0R,SM0603,9.99998,-6.00202,0,bottom
R30,20k,SM0603,10.59942,-0.19812,180,bottom
R32,10k,SM0603,10.09904,-2.19964,90,bottom
R33,10k,SM0603,13.40104,8.39978,270,bottom
R38,1k,SM0603,15.30096,-12.99972,90,bottom
U1,STM32F103CB,LQFP-48,0,1.50114,0,bottom
U6,NUF2221,SOT363,-8.6995,8.6995,90,bottom
U7,TPS79301,SOT23_6,9.9949,12.0015,180,bottom
U9,TPS79301,SOT23_6,11.99896,-9.00176,0,bottom
X1,16Mhz,XTAL-5.0x3.2,-0.70104,11.30046,0,bottom
